"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2009","208.94","212.00","212.86","208.94","136.58M","-0.15%"
"Oct 06, 2009","209.25","212.19","213.09","208.23","146.15M","-0.54%"
"Oct 05, 2009","210.38","212.69","213.63","210.02","148.15M","-2.57%"
"Oct 01, 2009","215.94","220.81","221.54","213.96","147.43M","-1.73%"
"Sep 30, 2009","219.75","221.51","223.88","218.66","171.40M","-0.83%"
"Sep 29, 2009","221.59","222.39","222.55","220.16","127.87M","0.88%"
"Sep 28, 2009","219.66","219.89","220.86","218.53","129.13M","-0.97%"
"Sep 25, 2009","221.82","221.24","221.90","217.83","170.93M","-0.24%"
"Sep 24, 2009","222.35","223.90","225.18","220.57","166.03M","-1.04%"
"Sep 23, 2009","224.69","225.89","225.93","223.84","182.70M","-0.26%"
"Sep 22, 2009","225.27","222.72","225.65","222.57","154.50M","1.54%"
"Sep 21, 2009","221.85","222.35","223.70","221.27","131.75M","-0.22%"
"Sep 18, 2009","222.34","222.20","224.75","221.78","172.14M","0.01%"
"Sep 17, 2009","222.31","222.73","223.54","220.30","184.20M","0.81%"
"Sep 16, 2009","220.53","217.00","222.07","216.95","179.18M","2.03%"
"Sep 15, 2009","216.14","214.90","216.41","214.16","203.17M","1.27%"
"Sep 14, 2009","213.42","215.87","215.99","212.55","163.39M","-1.11%"
"Sep 11, 2009","215.81","214.77","216.29","214.16","173.88M","0.41%"
"Sep 10, 2009","214.92","211.09","214.96","210.74","199.97M","2.30%"
"Sep 09, 2009","210.09","211.70","211.86","209.31","169.03M","-0.62%"
"Sep 08, 2009","211.40","210.76","211.74","210.08","176.11M","0.80%"
"Sep 07, 2009","209.73","211.08","211.31","208.55","135.05M","-0.04%"
"Sep 04, 2009","209.81","211.91","211.91","208.32","174.50M","-0.38%"
"Sep 03, 2009","210.60","210.60","211.53","209.43","165.62M","0.04%"
"Sep 02, 2009","210.51","208.55","211.85","207.63","180.98M","-0.65%"
"Sep 01, 2009","211.89","207.54","212.20","206.25","142.00M","2.15%"
"Aug 31, 2009","207.44","209.43","209.99","205.80","152.37M","-1.10%"
"Aug 28, 2009","209.74","210.45","211.07","208.58","160.23M","0.54%"
"Aug 27, 2009","208.62","209.74","210.52","207.36","145.00M","-0.95%"
"Aug 26, 2009","210.62","209.79","210.80","209.06","141.48M","0.72%"
"Aug 25, 2009","209.12","209.27","210.41","208.38","158.65M","-0.70%"
"Aug 24, 2009","210.60","209.43","210.93","209.18","193.58M","2.10%"
"Aug 21, 2009","206.26","206.05","207.35","203.93","180.62M","0.51%"
"Aug 20, 2009","205.22","203.02","205.41","201.04","151.73M","2.06%"
"Aug 19, 2009","201.08","201.78","203.61","201.08","151.33M","-0.12%"
"Aug 18, 2009","201.33","198.88","202.60","198.66","152.78M","0.40%"
"Aug 17, 2009","200.52","205.97","205.97","199.77","158.80M","-2.88%"
"Aug 14, 2009","206.46","204.92","206.80","204.60","160.63M","1.98%"
"Aug 13, 2009","202.46","204.52","205.10","202.46","181.60M","-0.10%"
"Aug 12, 2009","202.67","203.87","203.94","201.01","175.32M","-1.12%"
"Aug 11, 2009","204.96","204.21","205.25","203.91","154.73M","0.09%"
"Aug 10, 2009","204.77","206.16","206.56","204.27","130.61M","-0.09%"
"Aug 07, 2009","204.95","203.41","205.07","202.86","133.53M","0.59%"
"Aug 06, 2009","203.74","202.59","204.87","201.33","146.41M","0.27%"
"Aug 05, 2009","203.19","204.72","205.43","202.96","149.86M","-0.45%"
"Aug 04, 2009","204.10","205.28","206.67","203.08","200.52M","0.14%"
"Aug 03, 2009","203.81","203.59","204.69","202.67","164.08M","0.42%"
"Jul 31, 2009","202.96","200.90","203.35","200.07","195.41M","1.54%"
"Jul 30, 2009","199.88","198.40","200.02","196.56","179.24M","0.83%"
"Jul 29, 2009","198.24","198.19","198.98","197.19","196.42M","-0.14%"
"Jul 28, 2009","198.52","197.69","198.77","197.40","150.44M","0.23%"
"Jul 27, 2009","198.07","196.23","198.92","195.48","185.55M","1.51%"
"Jul 24, 2009","195.13","195.90","196.31","194.32","162.06M","0.38%"
"Jul 23, 2009","194.40","194.45","195.65","192.93","195.93M","0.06%"
"Jul 22, 2009","194.29","193.96","194.60","193.10","161.36M","0.35%"
"Jul 21, 2009","193.62","193.65","194.73","192.48","179.45M","0.71%"
"Jul 20, 2009","192.25","188.11","192.77","187.97","175.54M","2.72%"
"Jul 17, 2009","187.16","187.63","187.96","186.21","113.97M","0.50%"
"Jul 16, 2009","186.22","186.57","187.15","185.39","156.51M","1.06%"
"Jul 15, 2009","184.26","181.94","184.58","181.82","135.79M","2.69%"
"Jul 14, 2009","179.43","181.13","181.35","178.34","136.52M","0.72%"
"Jul 13, 2009","178.15","184.23","184.23","178.15","156.58M","-3.47%"
"Jul 10, 2009","184.56","185.27","185.43","182.84","121.81M","-0.09%"
"Jul 09, 2009","184.72","184.26","186.51","183.94","147.95M","-0.01%"
"Jul 08, 2009","184.73","183.86","184.73","182.28","152.51M","-0.21%"
"Jul 07, 2009","185.11","185.18","186.02","184.20","163.71M","0.33%"
"Jul 06, 2009","184.50","182.78","185.04","182.36","140.13M","0.86%"
"Jul 03, 2009","182.92","179.11","182.92","179.02","139.04M","0.59%"
"Jul 02, 2009","181.85","182.92","182.96","180.80","163.02M","-0.05%"
"Jul 01, 2009","181.95","178.53","182.50","177.75","162.55M","1.65%"
"Jun 30, 2009","178.99","180.65","181.65","178.69","184.36M","0.10%"
"Jun 29, 2009","178.81","179.92","181.42","178.40","151.34M","-0.26%"
"Jun 26, 2009","179.28","180.04","180.41","178.45","145.23M","0.23%"
"Jun 25, 2009","178.86","175.50","180.46","175.50","188.81M","2.16%"
"Jun 24, 2009","175.08","174.96","176.00","173.22","166.00M","0.44%"
"Jun 23, 2009","174.32","175.17","175.81","173.52","216.75M","-2.63%"
"Jun 22, 2009","179.02","176.46","179.11","176.12","124.46M","1.35%"
"Jun 19, 2009","176.63","176.96","177.38","174.94","149.32M","0.62%"
"Jun 18, 2009","175.54","177.56","178.34","174.90","134.10M","-1.27%"
"Jun 17, 2009","177.80","177.90","178.65","176.85","143.87M","-0.60%"
"Jun 16, 2009","178.88","178.27","180.32","177.58","151.07M","-0.99%"
"Jun 15, 2009","180.66","182.59","182.64","178.97","136.81M","-1.11%"
"Jun 12, 2009","182.69","182.74","183.72","181.23","144.43M","0.69%"
"Jun 11, 2009","181.43","180.49","183.84","179.90","193.48M","0.29%"
"Jun 10, 2009","180.91","176.01","180.96","175.52","184.74M","3.43%"
"Jun 09, 2009","174.91","179.49","180.00","174.87","173.02M","-1.55%"
"Jun 08, 2009","177.67","177.65","180.00","176.87","176.06M","-0.06%"
"Jun 05, 2009","177.77","177.43","177.77","175.12","175.53M","1.15%"
"Jun 04, 2009","175.75","179.55","179.75","175.35","230.56M","-2.53%"
"Jun 03, 2009","180.31","181.78","182.25","178.93","276.11M","-0.09%"
"Jun 02, 2009","180.47","183.64","183.71","180.30","224.41M","-0.24%"
"Jun 01, 2009","180.90","178.42","180.90","176.92","189.98M","1.23%"
"May 29, 2009","178.70","178.16","178.97","176.42","217.85M","0.29%"
"May 28, 2009","178.19","173.28","178.19","172.42","225.46M","2.56%"
"May 27, 2009","173.75","177.63","178.26","173.47","252.54M","-0.58%"
"May 26, 2009","174.77","179.12","179.30","173.50","218.09M","-2.13%"
"May 25, 2009","178.57","177.58","180.31","167.47","257.34M","-0.25%"
"May 22, 2009","179.01","179.69","182.70","178.86","242.15M","-1.55%"
"May 21, 2009","181.82","183.08","183.26","180.59","256.05M","-1.08%"
"May 20, 2009","183.80","182.75","184.01","182.40","219.08M","0.57%"
"May 19, 2009","182.76","181.30","182.81","180.62","289.07M","3.10%"
"May 18, 2009","177.26","176.94","177.41","174.56","206.86M","-0.30%"
"May 15, 2009","177.80","178.09","178.96","177.09","259.26M","0.86%"
"May 14, 2009","176.29","178.67","179.09","176.28","274.84M","-2.68%"
"May 13, 2009","181.14","180.46","181.27","179.37","237.70M","0.78%"
"May 12, 2009","179.73","180.24","180.84","178.73","235.75M","-0.89%"
"May 11, 2009","181.35","181.42","182.09","179.88","250.06M","0.17%"
"May 08, 2009","181.04","179.58","181.07","178.34","260.60M","0.72%"
"May 07, 2009","179.74","181.52","181.82","178.27","332.67M","0.51%"
"May 06, 2009","178.82","179.76","181.03","177.88","331.95M","-0.48%"
"May 04, 2009","179.69","178.23","179.69","177.46","348.48M","2.10%"
"Apr 30, 2009","176.00","174.04","177.30","173.54","274.25M","2.28%"
"Apr 29, 2009","172.08","168.53","172.08","167.28","165.19M","2.89%"
"Apr 28, 2009","167.24","172.69","174.00","167.14","223.14M","-2.84%"
"Apr 27, 2009","172.13","174.31","175.59","171.20","197.84M","-1.15%"
"Apr 24, 2009","174.13","176.31","176.99","172.75","237.33M","-1.14%"
"Apr 23, 2009","176.14","175.88","176.64","173.90","277.30M","1.00%"
"Apr 22, 2009","174.40","173.28","175.11","171.86","291.37M","1.42%"
"Apr 21, 2009","171.96","168.58","172.35","167.66","204.24M","-0.20%"
"Apr 20, 2009","172.30","172.55","173.04","169.04","183.25M","0.57%"
"Apr 17, 2009","171.33","174.03","174.99","169.71","251.59M","-0.23%"
"Apr 16, 2009","171.73","174.26","176.12","171.42","270.75M","0.30%"
"Apr 15, 2009","171.21","169.24","171.87","167.68","263.61M","-0.48%"
"Apr 14, 2009","172.03","173.56","174.04","169.55","295.75M","0.20%"
"Apr 13, 2009","171.69","172.49","174.01","170.87","277.84M","-0.19%"
