"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2018","8,365.05","8,368.38","8,375.06","8,348.11","-","1.77%"
"Aug 24, 2018","8,219.25","8,255.41","8,263.69","8,191.54","-","-0.44%"
"Aug 23, 2018","8,255.41","8,198.71","8,255.41","8,198.22","-","0.69%"
"Aug 22, 2018","8,198.71","8,184.23","8,216.69","8,170.14","-","0.18%"
"Aug 21, 2018","8,184.23","8,121.14","8,184.23","8,117.69","-","0.78%"
"Aug 20, 2018","8,121.14","8,100.31","8,138.24","8,084.14","-","0.26%"
"Aug 17, 2018","8,100.31","8,087.49","8,151.69","8,087.49","-","0.16%"
"Aug 16, 2018","8,087.49","8,120.28","8,135.25","8,035.32","-","-0.40%"
"Aug 15, 2018","8,120.28","8,197.43","8,202.30","8,090.28","-","-0.94%"
"Aug 14, 2018","8,197.43","8,134.16","8,208.82","8,134.16","-","0.78%"
"Aug 13, 2018","8,134.16","8,312.05","8,312.05","8,103.68","-","-2.14%"
"Aug 10, 2018","8,312.05","8,347.64","8,350.38","8,297.89","-","-0.43%"
"Aug 09, 2018","8,347.64","8,381.17","8,381.17","8,325.06","-","-0.40%"
"Aug 08, 2018","8,381.17","8,290.50","8,398.81","8,290.50","-","1.09%"
"Aug 07, 2018","8,290.50","8,328.19","8,336.03","8,290.41","-","-0.45%"
"Aug 06, 2018","8,328.19","8,327.96","8,360.88","8,303.15","-","0.00%"
"Aug 03, 2018","8,327.96","8,301.24","8,332.21","8,289.51","-","-0.82%"
"Aug 01, 2018","8,397.14","8,360.09","8,399.21","8,360.09","-","0.44%"
"Jul 31, 2018","8,360.09","8,356.07","8,360.09","8,286.94","-","0.05%"
"Jul 30, 2018","8,356.07","8,371.64","8,378.97","8,326.29","-","-0.19%"
"Jul 27, 2018","8,371.64","8,313.44","8,371.64","8,304.69","-","0.70%"
"Jul 26, 2018","8,313.44","8,282.47","8,322.19","8,273.86","-","0.37%"
"Jul 25, 2018","8,282.47","8,309.19","8,309.19","8,260.15","-","-0.32%"
"Jul 24, 2018","8,309.19","8,279.83","8,309.19","8,241.89","-","0.35%"
"Jul 23, 2018","8,279.83","8,234.13","8,318.37","8,227.82","-","0.56%"
"Jul 20, 2018","8,234.13","8,096.99","8,241.64","8,096.99","-","1.69%"
"Jul 19, 2018","8,096.99","8,079.27","8,144.39","8,079.27","-","0.22%"
"Jul 18, 2018","8,079.27","8,026.23","8,114.27","8,026.23","-","0.66%"
"Jul 17, 2018","8,026.23","8,059.33","8,059.33","8,003.60","-","-0.41%"
"Jul 16, 2018","8,059.33","8,107.82","8,120.67","8,059.33","-","-0.60%"
"Jul 13, 2018","8,107.82","8,008.22","8,108.83","8,008.22","-","1.24%"
"Jul 12, 2018","8,008.22","7,962.82","8,027.65","7,929.26","-","0.57%"
"Jul 11, 2018","7,962.82","8,032.49","8,032.49","7,917.97","-","-0.87%"
"Jul 10, 2018","8,032.49","8,021.85","8,072.03","8,014.27","-","0.13%"
"Jul 09, 2018","8,021.85","7,920.14","8,050.19","7,920.14","-","1.28%"
